time,left_length,right_length,x,y,outoff
1.68E+18,0.43,0.64,-0.18725,0.364954742,0.390625
1.68E+18,0.7,0,0,0,0.390625
1.68E+18,0.54,0.64,-0.098333333,0.450929691,0.390625
1.68E+18,0.63,0.64,-0.010583333,0.509587342,0.390625
1.68E+18,0.56,0.64,-0.08,0.464975728,0.390625
1.68E+18,0.63,0.64,-0.010583333,0.509587342,0.390625
1.68E+18,0.66,0.64,0.021666667,0.526307692,0.390625
1.68E+18,0.55,0.64,-0.08925,0.458020115,0.390625
1.68E+18,0.69,0.64,0.055416667,0.541421164,0.390625
1.68E+18,0.55,0.64,-0.08925,0.458020115,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.45,0.64,-0.172583333,0.381584283,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.36,0.66,-0.255,0.307176427,0.390625
1.68E+18,0,0,0,0,0.390625
1.68E+18,0.25,0.66,-0.310916667,0.199761539,0.390625
1.68E+18,0.34,0.65,-0.25575,0.287108199,0.390625
1.68E+18,0.36,0.64,-0.233333333,0.303773311,0.390625
