,l,r,x,y,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
51,0.29407635,0.6837871,0.209030845,0.656578693,-0.21603424,-0.01826988,-0.31431792,-2.199010668,-2.286046508,9.769175034
52,0.7793621,0.6952783,0.300222499,0.688081656,0.06912476,0.13814212,0.01925308,-0.037173083,0.576370267,8.622475028
53,0.31916618,0.48052758,0.328969415,0.475248789,0.11966576,0.04823212,0.09160708,-0.116776971,-0.426962916,10.30302515
54,0.32442203,0.6900768,0.207430615,0.662663581,-0.02876624,0.02429112,-0.07704092,-2.337330484,-2.088611262,9.501257955
55,0.20865567,0.56388426,0.283697358,0.551760051,-0.02131724,0.30732212,0.18311308,-2.386119371,-0.945417373,8.996256869
56,0.26253778,0.841423,0.037772098,0.759462713,0.28405776,-0.20394188,0.01925308,-0.449427292,-0.958849368,9.789899178
57,0.33270133,0.70273775,0.197890867,0.673046985,-0.37883024,0.17910712,0.01712508,-2.492793912,-0.465008241,9.066533824
58,0.20063527,0.64157456,0.233481881,0.619588276,0.23564376,-0.04220988,-0.04352392,-1.570624553,-0.394046473,9.170451765
59,0.23660739,0.5490623,0.293221181,0.538579329,0.08668076,-0.38854988,0.04479008,-2.83996399,-0.993865377,9.914139665
60,0.16794732,0.47250032,0.325427824,0.46657855,0.10370476,0.16899912,-0.02383992,-1.673192867,-1.190284697,9.099836744
61,0.21019894,0.532991,0.300015888,0.523528971,-0.00588924,0.05408412,0.08894708,-0.479603427,-0.766135386,9.784143737
62,0.19900133,0.5581086,0.286384688,0.546421788,-0.07345524,-0.04220988,-0.04831192,-0.773117326,-0.362385019,9.129126109
63,0.20194733,0.49948397,0.315304941,0.492250935,-0.01918924,-0.03316588,-0.08608492,-1.097973749,-0.65001323,10.5140762
64,0.23603964,0.5420764,0.296785467,0.532159359,-0.07451924,0.05621212,-0.05788792,-1.675176975,0.122934641,9.659438128
65,0.21958137,0.60424644,0.260249381,0.587863526,-0.01546524,-0.02571788,-0.03128792,-1.416068221,0.179542488,9.627635112
