time,left_length,right_length,x,y
1.68E+18,0.71,0.46,0.24375,0.406547848
1.68E+18,0.77,0.53,0.26,0.47848841
1.68E+18,0.76,0.57,0.210583333,0.512942857
1.68E+18,0.77,0.59,0.204,0.532137441
1.68E+18,0.78,0.6,0.207,0.542748682
1.68E+18,0.8,0.64,0.192,0.580821686
1.68E+18,0.81,0.62,0.226416667,0.565617977
1.68E+18,0.8,0.59,0.24325,0.537264368
1.68E+18,0.76,0.57,0.210583333,0.512942857
1.68E+18,0.75,0.55,0.216666667,0.493650214
1.68E+18,0.74,0.52,0.231,0.465401785
1.68E+18,0.71,0.5,0.21175,0.44215032
1.68E+18,0.67,0.46,0.19775,0.398491848
1.68E+18,0.64,0.43,0.18725,0.364954742
1.68E+18,0.59,0.43,0.136,0.34749717
1.68E+18,0.58,0.42,0.133333333,0.335515528
1.68E+18,0.58,0.43,0.12625,0.343333113
1.68E+18,0.57,0,0,0
1.68E+18,0.59,0.4,0.15675,0.32346946
1.68E+18,0.59,0.37,0.176,0.298602926
1.68E+18,0.62,0.34,0.224,0.281397043
1.68E+18,0.67,0.33,0.283333333,0.279578856
1.68E+18,0.75,0.33,0.378,0.270649341
1.68E+18,0.84,0.36,0.48,0.261769145
1.68E+18,0.86,0.42,0.469333333,0.334351691
1.68E+18,0.89,0.48,0.468083333,0.399608711
1.68E+18,0.95,0.52,0.52675,0.41795773
1.68E+18,1.03,0.61,0.574,0.494999083
1.68E+18,1.05,0.68,0.533416667,0.588683536
1.68E+18,1.08,0.74,0.515666667,0.657875617
1.68E+18,1.06,0.77,0.44225,0.706746283
1.68E+18,1.05,0.8,0.385416667,0.745426925
1.68E+18,1.03,0.81,0.337333333,0.759139186
1.68E+18,1,0.82,0.273,0.769555367
1.68E+18,0.98,0.83,0.22625,0.776716963
1.68E+18,0.93,0.84,0.13275,0.773181291
1.68E+18,0.85,0.84,0.014083333,0.739842807
1.68E+18,0.79,0.83,-0.054,0.700722319
1.68E+18,0.75,0.83,-0.105333333,0.674296133
1.68E+18,0.68,0.8,-0.148,0.612794086
1.68E+18,0.59,0.76,-0.19125,0.529890884
1.68E+18,0.55,0.73,-0.192,0.489292129
1.68E+18,0.52,0.7,-0.183,0.456666557
1.68E+18,0.51,0.65,-0.135333333,0.432685083
1.68E+18,0.5,0.57,-0.062416667,0.389947906
1.68E+18,0.5,0.53,-0.02575,0.368075277
1.68E+18,0.53,0.49,0.034,0.361514277
1.68E+18,0.53,0.47,0.05,0.347994975
1.68E+18,0.57,0.44,0.109416667,0.346582896
1.68E+18,0.59,0.42,0.143083333,0.339585882
1.68E+18,0.58,0.4,0.147,0.319582197
1.68E+18,0.59,0.39,0.163333333,0.315270068
1.68E+18,0.6,0.39,0.17325,0.318828466
1.68E+18,0.59,0.4,0.15675,0.32346946
1.68E+18,0.57,0.4,0.137416667,0.315467727
1.68E+18,0.57,0.39,0.144,0.307440904
1.68E+18,0.56,0.39,0.134583333,0.303181719
1.68E+18,0.56,0.4,0.128,0.311131555
1.68E+18,0.58,0.4,0.147,0.319582197
1.68E+18,0.58,0.4,0.147,0.319582197
1.68E+18,0.59,0.41,0.15,0.331575681
1.68E+18,0.59,0.4,0.15675,0.32346946
1.68E+18,0.61,0.4,0.17675,0.330538352
1.68E+18,0.62,0.39,0.193583333,0.325200604
1.68E+18,0.62,0.39,0.193583333,0.325200604
1.68E+18,0.61,0.37,0.196,0.305083089
1.68E+18,0.64,0.37,0.22725,0.312777394
1.68E+18,0.67,0.38,0.25375,0.327174943
1.68E+18,0.7,0.4,0.275,0.349217986
1.68E+18,0.72,0.43,0.277916667,0.379432563
1.68E+18,0.77,0.49,0.294,0.439963264
1.68E+18,0.81,0.53,0.312666667,0.479848616
1.68E+18,0.84,0.58,0.307666667,0.529949327
1.68E+18,0.87,0.62,0.310416667,0.569912488
1.68E+18,0.89,0.66,0.297083333,0.609993555
1.68E+18,0.88,0.69,0.248583333,0.638081628
1.68E+18,0.85,0.72,0.170083333,0.65818194
1.68E+18,0.84,0.72,0.156,0.655453046
1.68E+18,0.81,0.73,0.102666667,0.652822563
1.68E+18,0.73,0.75,-0.024666667,0.626085465
1.68E+18,0.71,0.74,-0.03625,0.609193399
1.68E+18,0.68,0.72,-0.046666667,0.58104851
1.68E+18,0.64,0.72,-0.090666667,0.554797119
1.68E+18,0.59,0.69,-0.106666667,0.507424634
1.68E+18,0.54,0.71,-0.177083333,0.475824584
1.68E+18,0.51,0.7,-0.191583333,0.448343081
1.68E+18,0.49,0.66,-0.162916667,0.420434012
1.68E+18,0.46,0.61,-0.13375,0.378906677
1.68E+18,0.48,0.57,-0.07875,0.375967648
1.68E+18,0.47,0.54,-0.058916667,0.353458581
1.68E+18,0.49,0.5,-0.00825,0.343677454
1.68E+18,0.54,0.43,0.088916667,0.324624914
1.68E+18,0.53,0.39,0.107333333,0.289086354
1.68E+18,0.56,0.36,0.153333333,0.278768747
1.68E+18,0.58,0.34,0.184,0.26959975
1.68E+18,0.57,0.33,0.18,0.257408523
1.68E+18,0.59,0.33,0.199333333,0.264270938
1.68E+18,0.58,0.32,0.195,0.25228298
1.68E+18,0.58,0.33,0.189583333,0.260979356
1.68E+18,0.58,0.34,0.184,0.26959975
1.68E+18,0.57,0.36,0.16275,0.282809912
1.68E+18,0.59,0.36,0.182083333,0.290140647
1.68E+18,0.62,0.37,0.20625,0.307925883
1.68E+18,0.61,0.36,0.202083333,0.296427953
1.68E+18,0.6,0.35,0.197916667,0.284782008
1.68E+18,0.59,0.33,0.199333333,0.264270938
1.68E+18,0.57,0.35,0.168666667,0.274424961
1.68E+18,0.57,0.37,0.156666667,0.291109301
1.68E+18,0.55,0.38,0.13175,0.290722669
1.68E+18,0.53,0.38,0.11375,0.281226414
1.68E+18,0.53,0.38,0.11375,0.281226414
1.68E+18,0.53,0.38,0.11375,0.281226414
1.68E+18,0.51,0.4,0.083416667,0.286291034
1.68E+18,0.5,0.41,0.06825,0.288218772
1.68E+18,0.48,0.43,0.037916667,0.290899291
1.68E+18,0.47,0.43,0.03,0.284664011
1.68E+18,0.48,0.44,0.030666667,0.297936137
1.68E+18,0.46,0.46,0,0.298711915
