%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1.68009E+18,1,1.68009E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,0.188652,-0.049521,1.294662,0,0,0,0,0,0,0,0,0,1.118066,0.296563,9.840673,0,0,0,0,0,0,0,0,0
1.68009E+18,2,1.68009E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-0.080014,0.43195,0.537608,0,0,0,0,0,0,0,0,0,-1.006543,1.569414,9.228174,0,0,0,0,0,0,0,0,0
1.68009E+18,3,1.68009E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-0.164072,0.040921,0.595066,0,0,0,0,0,0,0,0,0,0.266309,0.849248,9.835889,0,0,0,0,0,0,0,0,0
1.68009E+18,4,1.68009E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,0.17748,0.224997,-0.332764,0,0,0,0,0,0,0,0,0,-1.130957,1.124395,9.967481,0,0,0,0,0,0,0,0,0
1.68009E+18,5,1.68009E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,0.200357,0.212761,0.040177,0,0,0,0,0,0,0,0,0,-1.788916,0.928203,10.230664,0,0,0,0,0,0,0,0,0
1.68009E+18,6,1.68009E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-0.001808,0.736261,0.219997,0,0,0,0,0,0,0,0,0,-0.563916,0.760723,8.814258,0,0,0,0,0,0,0,0,0
1.68009E+18,7,1.68009E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,0.114171,-0.124535,-0.35298,0,0,0,0,0,0,0,0,0,-2.073633,0.779863,10.029688,0,0,0,0,0,0,0,0,0
1.68009E+18,8,1.68009E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-0.120447,-0.158584,0.052413,0,0,0,0,0,0,0,0,0,-2.248291,0.810967,9.264063,0,0,0,0,0,0,0,0,0
1.68009E+18,9,1.68009E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-0.024152,-0.179332,0.048689,0,0,0,0,0,0,0,0,0,-1.391748,1.071758,9.484179,0,0,0,0,0,0,0,0,0
1.68009E+18,10,1.68009E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-0.058733,0.174456,0.047625,0,0,0,0,0,0,0,0,0,-1.145313,1.547881,9.393262,0,0,0,0,0,0,0,0,0
1.68009E+18,11,1.68009E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-0.033197,-0.274031,0.127959,0,0,0,0,0,0,0,0,0,-1.430029,1.631621,10.048828,0,0,0,0,0,0,0,0,0
